"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";1;2005;0.7035;0.863;0.880248009204154;0.908355833935467;0.931187736173136
"east midlands";"MMR";1;2006;0.704625;0.876;0.890736837572735;0.898430693371563;0.911477519861524
"east midlands";"MMR";1;2007;0.700275;0.879;0.898084969479042;0.910711884053025;0.901790232031419
"east midlands";"MMR";1;2008;0.70185;0.888;0.90287980142372;0.913989749203942;0.914402590016188
"east midlands";"MMR";1;2009;0.696375;0.877;0.91392464638092;0.92007715285674;0.916928408967833
"east midlands";"MMR";1;2010;0.709875;0.8969143155;0.91005035933056;0.93259461966414;0.9232546357
"east midlands";"MMR";1;2011;0.720225;0.9060733277;0.92679861151998;0.9285529109216;0.9360441927
"east midlands";"MMR";1;2012;0.725175;0.9288698268;0.93562438730928;0.9423904181391;0.9412003872
"east midlands";"MMR";1;2013;0.722625;0.9404813845;0.94989453035073;0.94547641091312;0.9497320886
"east midlands";"MMR";1;2014;0.720675;0.9488586649;0.9552209048723;0.95941291328523;0.9561853501
"east midlands";"MMR";1;2015;0.7212;0.942830401;0.95907808749104;0.96339508480589;0.9600776397
"east midlands";"MMR";1;2016;0.7259037804375;0.9414225941;0.9563622197494;0.96182417817136;0.9650063768
"east midlands";"MMR";1;2017;0.724103212725;0.9357434145;0.95223010057064;0.9616898732564;0.9636544121
"east midlands";"MMR";1;2018;0.7199596699875;0.9309419006;0.94998175847832;0.9570322501849;0.96388832
"east midlands";"MMR";1;2019;0.721281704025;0.9198924533;0.94702934454488;0.9563083480787;0.9592215178
"east midlands";"MMR";2;2005;0;0.680361959078603;0.792189110271384;0.792189110271384;0.792189110271384
"east midlands";"MMR";2;2006;0;0.665227617280678;0.788003195597177;0.788003195597177;0.788003195597177
"east midlands";"MMR";2;2007;0;0.691245058406615;0.770474423535648;0.770474423535648;0.770474423535648
"east midlands";"MMR";2;2008;0;0.725300885952561;0.800608128800805;0.800608128800805;0.800608128800805
"east midlands";"MMR";2;2009;0;0.73927476747072;0.84005198743637;0.84005198743637;0.84005198743637
"east midlands";"MMR";2;2010;0;0.7482432673665;0.8562367008;0.8562367008;0.8562367008
"east midlands";"MMR";2;2011;0;0.72768610455345;0.8666241225;0.8666241225;0.8666241225
"east midlands";"MMR";2;2012;0;0.74756527647333;0.8817231365;0.8817231365;0.8817231365
"east midlands";"MMR";2;2013;0;0.79334457320972;0.8966837909;0.8966837909;0.8966837909
"east midlands";"MMR";2;2014;0;0.79858719399359;0.9107388052;0.9107388052;0.9107388052
"east midlands";"MMR";2;2015;0;0.7956066493301;0.9123582703;0.9123582703;0.9123582703
"east midlands";"MMR";2;2016;0;0.80351464618139;0.9047153165;0.9047153165;0.9047153165
"east midlands";"MMR";2;2017;0;0.8290184824794;0.8875672663;0.8875672663;0.8875672663
"east midlands";"MMR";2;2018;0;0.8250281334012;0.890077821;0.890077821;0.890077821
